text,id,created,is_retweet,favorites,retweets
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100974258720773,2021-04-05 15:57:49,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100853366255616,2021-04-05 15:57:20,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100843417481222,2021-04-05 15:57:18,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100791969964032,2021-04-05 15:57:05,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100693412376583,2021-04-05 15:56:42,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100558158618624,2021-04-05 15:56:10,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100505251663882,2021-04-05 15:55:57,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100466907394050,2021-04-05 15:55:48,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100184404062209,2021-04-05 15:54:41,True,0,304
"b'RT @TheUndefeated: ""Let\'s normalize working mothers and all that they have to do to make it happen."" \xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f\xf0\x9f\x97\xa3\xef\xb8\x8f \n\n@sportsiren\'s report on Arizo\xe2\x80\xa6'",1379100132071776256,2021-04-05 15:54:28,True,0,304
